Symbol,ROA_TTM,ROE_TTM
MMM,-0.15427278698095306,-0.6929686951228078
AOS,0.09123689727463312,0.16375005130871428
ABT,0.07013896673426476,0.14089870005800267
ABBV,0.04781470151595506,0.46957900807381775
ACN,0.1400810225868557,0.2811530801687764
ADM,0.10491462529063376,0.1578683561561441
ADBE,0.18494041170097508,0.34794720660427036
ADP,0.0650852119979835,1.0224557910762384
AES,-0.01379429261143202,-0.2224428997020854
AFL,0.03511975514938529,0.22097504576548802
A,0.1056361008810778,0.20380447002743177
ABNB,0.277569487691115,0.8724483681540367
APD,0.07626297497548608,0.16300498362119517
AKAM,0.0598842602130375,0.12020508257295653
ALK,0.017687934301958308,0.06662807897613994
ALB,0.18720847081463007,0.3601991151845134
ARE,0.006755954996878428,0.013091463227532098
ALGN,0.059691773316898435,0.09993792683906029
ALLE,0.1353621867881549,0.5109017126349817
LNT,0.033786265148733015,0.10705143123109145
ALL,-0.019645460055399997,-0.1205304322438882
GOOGL,0.17624710302342012,0.25244259164861105
GOOG,0.17624710302342012,0.25244259164861105
MO,0.2377204884667571,-2.3231452628787377
AMZN,0.04246057319341934,0.12315684879413136
AMCR,0.0566343751369833,0.23199856347638714
AMD,0.0030722987219680437,0.0037895695741289
AEE,0.029951978461498635,0.10799206626998016
AAL,0.02428981408310111,-0.30458489403062916
AEP,0.02380491407620379,0.09319029725523968
AXP,0.03340186976272084,0.3043181041358095
AIG,0.007202910571557835,0.0922072672647309
AMT,0.010723924962539046,0.13822919235735323
AWK,0.03189267421806616,0.09989684564851511
AMP,0.016199386386879285,0.6826714340441834
AME,0.100227285526317,0.16140318269433448
AMGN,0.09043640405923907,1.2907958713639853
APH,0.12453528586199408,0.258784543782961
ADI,0.07526262013663172,0.10357538259750566
ANSS,0.0731402573332505,0.09884847253787515
AON,0.08001880721139011,-9.725
APA,0.1147716796176786,2.298417483044461
AAPL,0.2839166120269764,1.6078406995296408
AMAT,0.23203316693459683,0.46488447390279874
APTV,0.10207322255272516,0.24136016288109152
ACGL,0.05704174871182751,0.20914327261511675
ANET,0.2408058491486799,0.33674603092700633
AJG,0.02374468409412057,0.11423233200906063
AIZ,0.01596040875691808,0.12001113528806877
T,-0.027932943639325285,-0.11234726783966291
ATO,0.03982900578587322,0.08535565079321338
ADSK,0.09644403983558167,0.8415984593163216
AZO,0.1681468405626017,-0.6154630232281576
AVB,0.04519746086561108,0.08068058972997964
AVY,0.059289823837505605,0.23684371895657294
AXON,0.04794548301552812,0.10368310918066036
BKR,0.04753781737696136,0.11234195665572787
BALL,0.03035408943972242,0.1605492474254027
BAC,0.009744522160457967,0.10857323879491998
BBWI,0.13768490255928623,-0.33884202010863285
BAX,0.0900633257759362,0.40847844929477584
BDX,0.0278267391711982,0.05767362325599471
WRB,0.03915375723421314,0.19876159074244146
BRK-B,0.07667823799672076,0.15045685209587847
BBY,0.08212637275187012,0.4519971969166083
BIO,-0.012483373904154852,-0.01758156179813073
TECH,0.09527718487008345,0.12847195189618507
BIIB,0.05704446233018707,0.10419918881736986
BLK,0.0432103778201164,0.13626543919207307
BX,0.043077151332804056,0.2470095726254405
BK,0.008698339358845501,0.08878707883405709
BA,-0.021102226351239258,0.17989534390370382
BKNG,0.20638380692876607,8.265003897116134
BWA,0.04431422816334005,0.10377358490566038
BXP,0.007770514076992542,0.031993718240143194
BSX,0.03693094244577272,0.0677190321913559
BMY,0.08817276967324991,0.2675687895620721
AVGO,0.19229879061926788,0.6178125520226403
BR,0.08185921678662926,0.32977429382348966
BRO,0.05390786950254294,0.1514997870484921
BF-B,0.10042994519019331,0.2412488174077578
BG,0.0765787292144146,0.18186029275523438
CHRW,0.07010239627431793,0.2824777417498432
CDNS,0.18332200775977667,0.32716411159295194
CZR,0.021260190293675093,0.1725499726593353
CPT,0.024442091455621658,0.0460158529655788
CPB,0.07109269808389436,0.2396815420071234
COF,0.011602534423924412,0.100491037862825
CAH,0.00356599956567954,-0.057933339522792685
KMX,0.017052345200829364,0.07911650143612085
CCL,-0.03163888036548362,-0.24929961238822582
CARR,0.04553524804177546,0.14966453424871276
CTLT,-0.088494334773975,-0.20864775543927291
CAT,0.10790681152126935,0.5011135245112864
CBOE,0.09508293441677729,0.1961996859587596
CBRE,0.027774923593184182,0.07492701820002241
CDW,0.08465093275219858,0.6643418139915699
CE,0.07837835227766565,0.34664502626745824
COR,0.029038727657046542,3.2126485312883823
CNC,0.029888163969109042,0.0976964972767701
CNP,0.02239954105713317,0.08515067406819984
CDAY,0.0004566118827534838,0.0018159737591791798
CF,0.15697793311148706,0.3832781081203758
CRL,0.06191985378075333,0.1502698894039558
SCHW,0.011009046164477723,0.16283479336427828
CHTR,0.03228523784146195,0.4683875794986906
CVX,0.09895259015584362,0.15856869073251537
CMG,0.15899280565766374,0.4457348383895203
CB,0.03396501897470241,0.13482457190755598
CHD,0.05170079289527988,0.11566826067689215
CI,0.03586164463909318,0.11753365464517201
CINF,0.0546388301477012,0.15589619344919164
CTAS,0.1617616651753584,0.3682419979720654
CSCO,0.13787712276302463,0.31341010315463963
C,0.0056208952434622685,0.065627167134224
CFG,0.009236341347895133,0.08783941327341713
CLX,0.014454388839867221,0.6785009861932939
CME,0.019766336557935072,0.11065702038872384
CMS,0.02349490656147808,0.10539646802223317
KO,0.11156884627434936,0.42384418650403305
CTSH,0.11598306613921855,0.16463402620431486
CL,0.09891856515099573,19.714285714285715
CMCSA,0.05828123813013079,0.18360051861814922
CMA,0.013575070821529745,0.22040290681630026
CAG,0.04841957659750331,0.12199196351979773
