Symbol,ROA_TTM,ROE_TTM
ABX.TO,0.0012677734182887244,0.00253987716628532
AEM.TO,0.090521477636929,0.13316815487765704
AQN.TO,-0.012979632279646406,-0.04462066826292447
ATD.TO,0.10453715784679345,0.24076695862729866
BAM.TO,0.18729447370718505,0.3266176097437199
BCE.TO,0.03439091965323085,0.11159704418639722
BIP-UN.TO,0.005204859064979973,[None]
BMO.TO,0.0060513967414591325,0.09774773710207264
BN.TO,0.00025041168224935014,0.002600515580480304
BNS.TO,0.005906262925183938,0.10792326550706703
CAE.TO,0.02886934027018125,0.0666622254790931
CAR-UN.TO,-0.015227182009235687,-0.027345248490795372
CCL-B.TO,0.07291750874802232,0.1453674765021095
CCO.TO,0.03065588073409468,0.04444751380174248
CM.TO,0.0050194613641438655,0.09286787380406421
CNQ.TO,0.0941117428369553,0.18385170087333427
CNR.TO,0.09612281816848384,0.2379799544860311
CP.TO,0.05436799645794131,0.10450890203072687
CSU.TO,0.058545272413601204,0.33275343982286887
CTC-A.TO,0.025791923979801505,0.1085538006624682
CVE.TO,0.07613177217337865,0.14871753523082573
DOL.TO,0.17777034831317473,7.23761696754946
EMA.TO,0.03119517473651859,0.10441715424676912
ENB.TO,0.019124719687460334,0.054868574388191114
FM.TO,0.02472438391699092,0.054307908032673775
FNV.TO,0.09993837304847987,0.10322042888535274
FSV.TO,0.044736401211253905,0.13734510740153952
FTS.TO,0.024085045979139665,0.07314216099709493
GIB-A.TO,0.10211692985645605,0.20106379916952744
GIL.TO,0.1297110847009289,0.24021984161394527
H.TO,0.034011520538149015,0.09429604775807225
IFC.TO,0.021223993336653254,0.07892235587165285
IMO.TO,0.12300952849470867,0.2283440598364933
K.TO,0.02330350218619013,0.041213518505273695
L.TO,0.054864710403405396,0.18349591352491432
MFC.TO,0.0056758659167900636,0.09880236453605712
MG.TO,0.03401226671914461,0.09281926201078565
MRU.TO,0.07074500481164658,0.14424689449732314
NA.TO,0.007926612201723996,0.14769740153692995
NTR.TO,0.04045404977614996,0.08650393065517478
OTEX.TO,0.02236092731232871,0.08557770863988721
POW.TO,0.00321225488352125,0.10309803617513817
PPL.TO,0.04251210838817642,0.08450208696486543
QSR.TO,0.039832972606633,0.3362864525655223
RCI-B.TO,0.011778551969578326,0.06397555074493824
RY.TO,0.007540259934018854,0.13297826334357574
SAP.TO,0.04433893097790036,0.08917913067902535
SHOP.TO,-0.10969154499084956,-0.14162659805050037
SLF.TO,0.01098404800549973,0.1479236509699316
SU.TO,0.09673165677686729,0.20298323090701337
T.TO,0.014434383024733072,0.04861911987860394
TD.TO,0.0076074449766487685,0.12891007842833596
TECK-B.TO,0.040973111395646605,0.08332858147535686
TOU.TO,0.055551083530898666,0.07576592249561966
TRI.TO,0.11081654294803818,0.19640759488263812
TRP.TO,8.452531638882491e-05,0.0002940246833721691
WCN.TO,0.0478254594394232,0.1130432136928386
WN.TO,0.03578651281682767,0.2474182902161184
WPM.TO,0.07807471559301202,0.07866846060568476
WSP.TO,0.035588926130215616,0.08813509472807039
