Ticker,Market Cap(mn),Year,EPS,NAV,ROE
RAKCERAMIC,18359.857,2022,1.57,17.85,0.088
SSSTEEL,5455.311,2022,1.87,21.41,0.0873
ACI,19828.704,2022,12.3,141.98,0.0866
ALARABANK,25995.327,2022,1.95,22.75,0.0857
INTRACO,3595.319,2022,1.03,12.21,0.0844
ACMEPL,4779.0,2022,1.51,17.99,0.0839
JHRML,8983.588,2022,3.25,38.84,0.0837
ONEBANKPLC,9782.906,2022,1.59,19.15,0.083
PEOPLESINS,1630.86,2022,2.61,31.44,0.083
JANATAINS,1566.362,2022,1.2,14.55,0.0825
UCB,18309.201,2022,2.35,28.57,0.0823
INDEXAGRO,4895.478,2022,5.09,62.93,0.0809
JAMUNABANK,16989.815,2022,2.12,26.26,0.0807
BGIC,2722.974,2022,1.53,19.17,0.0798
FEDERALINS,1754.679,2022,1.03,12.97,0.0794
TAKAFULINS,1792.912,2022,1.49,18.94,0.0787
ENVOYTEX,7363.556,2022,2.99,38.21,0.0783
ACIFORMULA,7323.75,2022,5.14,65.88,0.078
RDFOOD,2909.803,2022,1.18,15.12,0.078
ASIAINS,2325.251,2022,2.09,26.88,0.0778
DHAKABANK,12582.528,2022,1.76,22.65,0.0777
NORTHRNINS,1787.438,2022,1.8,23.16,0.0777
BSRMLTD,26872.616,2022,10.34,134.29,0.077
EASTLAND,2071.85,2022,1.63,21.19,0.0769
MEGHNAINS,1392.0,2022,1.32,17.21,0.0767
MALEKSPIN,5246.56,2022,3.72,48.91,0.0761
TAMIJTEX,5360.548,2022,6.61,87.02,0.076
WALTONHIL,317378.025,2023,25.84,343.73,0.0752
ADVENT,2374.885,2022,1.05,14.1,0.0745
EIL,2086.319,2022,1.33,17.93,0.0742
GIB,8491.981,2022,1.02,13.79,0.074
AAMRATECH,1999.46,2022,1.78,24.09,0.0739
SAIFPOWER,11266.358,2022,1.32,17.91,0.0737
VFSTDL,2343.877,2022,1.42,19.36,0.0733
MATINSPINN,7565.224,2023,4.38,60.04,0.073
PARAMOUNT,2159.31,2022,1.87,25.81,0.0725
CONTININS,1676.694,2022,1.59,22.0,0.0723
BDFINANCE,8301.219,2022,1.25,17.41,0.0718
NITOLINS,1527.89,2022,2.13,30.04,0.0709
GSPFINANCE,4759.178,2021,1.44,20.57,0.07
AIL,3438.355,2022,1.55,22.2,0.0698
BDAUTOCA,640.683,2022,0.49,7.06,0.0694
NEWLINE,3541.823,2021,1.63,24.02,0.0679
EASTERNINS,2853.892,2022,3.57,52.91,0.0675
METROSPIN,1560.966,2022,1.38,20.65,0.0668
WATACHEM,2967.488,2022,4.05,61.18,0.0662
AGNISYSL,1784.882,2022,1.01,15.27,0.0661
EGEN,3390.0,2022,1.43,21.67,0.066
APEXFOODS,1727.257,2023,8.91,136.2,0.0654
AMCL(PRAN),2016.8,2022,5.62,86.59,0.0649
SINOBANGLA,1328.934,2022,1.81,27.87,0.0649
ESQUIRENIT,4653.906,2022,2.36,37.48,0.063
DSSL,3583.486,2022,1.1,17.67,0.0623
HRTEX,3386.772,2022,2.79,45.35,0.0615
MIRAKHTER,6135.195,2022,2.93,47.68,0.0615
LANKABAFIN,14009.804,2022,1.21,20.02,0.0604
SKTRIMS,2668.05,2022,0.9,15.24,0.0591
SOUTHEASTB,17103.242,2022,1.42,24.87,0.0571
LRBDL,5098.034,2022,2.13,37.95,0.0561
APEXSPINN,997.92,2023,3.51,64.37,0.0545
PHENIXINS,1476.502,2022,2.02,37.1,0.0544
SBACBANK,8654.012,2022,0.72,13.27,0.0543
ARAMIT,1562.4,2022,8.25,152.28,0.0542
APEXFOOT,3694.773,2023,12.86,239.64,0.0537
FEKDIL,3762.4,2022,1.04,19.5,0.0533
EASTRNLUB,2109.693,2022,9.5,187.52,0.0507
GBBPOWER,1537.234,2022,1.01,20.39,0.0495
SANDHANINS,2950.893,2022,0.88,18.57,0.0474
STANDBANKL,9133.843,2021,0.77,16.73,0.046
RUPALIINS,2069.966,2022,0.97,21.39,0.0453
